Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
1.015, 0.028, 0.278, 0.601, 4.880, 0.014, 0.054, 2.026, 0.008, 0.036, 0.869, 0.007, 0.030, 0.910, 0.015, 0.064, 0.824, 0.028, 1.894, 0.012
0.705, 0.012, 0.157, 0.312, 2.173, 0.008, 0.027, 2.102, 0.008, 0.037, 0.778, 0.008, 0.034, 0.707, 0.015, 0.059, 0.847, 0.029, 1.891, 0.011
0.658, 0.012, 0.150, 0.311, 2.147, 0.008, 0.027, 1.960, 0.008, 0.036, 0.942, 0.008, 0.036, 0.798, 0.015, 0.060, 0.855, 0.029, 1.970, 0.012
0.603, 0.016, 0.311, 0.365, 2.443, 0.009, 0.031, 2.135, 0.008, 0.035, 0.925, 0.008, 0.032, 1.117, 0.015, 0.081, 1.102, 0.029, 1.789, 0.011
0.732, 0.012, 0.152, 0.310, 2.483, 0.007, 0.026, 2.236, 0.007, 0.036, 0.998, 0.007, 0.031, 0.945, 0.015, 0.059, 0.975, 0.029, 1.916, 0.011
0.685, 0.019, 0.156, 0.307, 2.455, 0.009, 0.032, 2.106, 0.008, 0.037, 0.772, 0.009, 0.036, 0.817, 0.015, 0.058, 1.014, 0.029, 1.924, 0.012
0.959, 0.025, 0.533, 0.706, 3.932, 0.013, 0.048, 2.309, 0.008, 0.037, 1.135, 0.007, 0.033, 0.914, 0.015, 0.058, 0.923, 0.037, 2.073, 0.012
0.660, 0.015, 0.298, 0.385, 2.543, 0.007, 0.027, 2.014, 0.008, 0.035, 0.761, 0.008, 0.039, 0.772, 0.015, 0.059, 0.987, 0.029, 1.874, 0.012
0.780, 0.012, 0.154, 0.308, 2.330, 0.007, 0.027, 2.123, 0.008, 0.036, 0.885, 0.007, 0.031, 0.966, 0.014, 0.059, 0.995, 0.029, 2.039, 0.012
1.106, 0.020, 0.247, 0.528, 4.010, 0.013, 0.048, 2.058, 0.008, 0.038, 0.848, 0.009, 0.039, 0.840, 0.015, 0.057, 0.943, 0.030, 1.933, 0.011
0.764, 0.013, 0.158, 0.309, 2.306, 0.007, 0.027, 2.090, 0.007, 0.036, 0.763, 0.007, 0.030, 0.814, 0.014, 0.060, 1.099, 0.029, 1.999, 0.012
0.803, 0.013, 0.151, 0.306, 2.435, 0.009, 0.033, 2.057, 0.008, 0.036, 0.802, 0.007, 0.032, 0.940, 0.014, 0.059, 1.054, 0.029, 1.893, 0.016
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql...
0.582, 0.012, 0.146, 0.299, 2.075, 0.007, 0.025, 2.028, 0.008, 0.033, 1.098, 0.009, 0.040, 1.470, 0.014, 0.055, 1.339, 0.016, 0.064, 1.351, 0.031, 57.121, 0.044
0.628, 0.028, 0.237, 0.521, 2.270, 0.007, 0.024, 2.002, 0.009, 0.039, 0.739, 0.008, 0.037, 0.670, 0.008, 0.030, 0.800, 0.006, 0.030, 0.705, 0.016, 1.001, 0.011
0.585, 0.012, 0.246, 0.547, 1.839, 0.008, 0.029, 2.183, 0.008, 0.035, 0.705, 0.008, 0.033, 0.689, 0.008, 0.031, 0.763, 0.008, 0.038, 0.756, 0.022, 0.964, 0.012
0.624, 0.011, 0.145, 0.293, 2.148, 0.007, 0.026, 2.164, 0.008, 0.034, 0.860, 0.008, 0.032, 0.767, 0.008, 0.043, 0.754, 0.007, 0.032, 0.714, 0.016, 0.968, 0.011
